semester_id,week_id,course_name,attendance_pct
1,1,Algorithms,100.0
1,1,Calculus I,100.0
1,1,Data Structures,100.0
1,2,Data Structures,100.0
1,2,Statistic,100.0
2,1,Algorithms,100.0
2,1,Calculus I,100.0
2,1,Data Structures,100.0
2,2,Data Structures,0.0
2,2,Statistic,100.0
3,1,Algorithms,100.0
3,1,Calculus I,100.0
3,1,Data Structures,0.0
3,2,Data Structures,100.0
3,2,Statistic,100.0
4,1,Algorithms,100.0
4,1,Calculus I,100.0
4,1,Data Structures,100.0
4,2,Data Structures,0.0
4,2,Statistic,100.0
5,1,Algorithms,100.0
5,1,Calculus I,0.0
5,1,Data Structures,100.0
5,2,Data Structures,100.0
5,2,Statistic,100.0
6,1,Algorithms,100.0
6,1,Data Structures,100.0
6,2,Data Structures,100.0
6,2,Statistic,100.0
7,1,Algorithms,100.0
7,1,Data Structures,100.0
7,2,Data Structures,0.0
7,2,Statistic,100.0
8,1,Algorithms,100.0
8,1,Data Structures,100.0
8,2,Data Structures,0.0
8,2,Statistic,0.0
9,1,Algorithms,100.0
9,1,Data Structures,0.0
9,2,Data Structures,100.0
9,2,Statistic,0.0
10,1,Algorithms,100.0
10,1,Data Structures,100.0
10,2,Data Structures,100.0
10,2,Statistic,100.0
11,1,Algorithms,100.0
11,1,Data Structures,100.0
11,2,Data Structures,100.0
11,2,Statistic,100.0
12,1,Algorithms,100.0
12,1,Data Structures,100.0
12,2,Data Structures,0.0
12,2,Statistic,100.0
13,1,Algorithms,100.0
13,1,Data Structures,100.0
13,2,Data Structures,100.0
13,2,Statistic,100.0
